"geneSym","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","ZT0","ZT04","ZT08","ZT12","ZT16","ZT20"
"Loxl4",5.99370571197078e-06,0.0102144928418775,24,3.68401469190059e-05,342.726806190917,292.461709859665,0.853337715570308,648.9283284345,412.514090406,121.893218426,114.382146576,232.6263232125,526.0167300905
"Stra6l",6.63663867495057e-06,0.0102144928418775,24,9.2116783590182,1215.60966411208,189.499064308735,0.15588808636788,1086.838629123,1243.582884297,1434.2543699015,1337.695287382,1140.9760392,1050.310774769
"n/a_650",6.67945078502985e-06,0.0102144928418775,24,9.11750782211653,140.18722499475,21.2598731141903,0.151653427157763,129.1409437515,147.467395194,163.6316047945,152.6002295915,132.4548881925,115.8282884445
"Tmem243",6.75200036293067e-06,0.0102144928418775,24,9.1258447906934,470.853491579,50.3059657728467,0.106839954832121,442.021503843,487.5162323985,526.3790520705,500.4760894075,452.013727083,416.7143446715
"Mir5098",6.87483699290947e-06,0.0102144928418775,24,20.9999631598531,2235.80924288058,380.273829255776,0.170083306734092,2429.740823448,2150.181112857,1859.3898414825,1942.6441630535,2377.0471210485,2655.852395394
"C2cd5",7.07000440991479e-06,0.0102144928418775,24,20.9999631598531,689.297525011833,138.462765029207,0.200875180897872,772.0131944955,648.7780148595,549.397900542,600.5596162135,721.5805171455,843.455906815
"Traf5",8.69353892352098e-06,0.0105931239131683,24,19.9999631598531,927.127064413084,136.355711155204,0.147073380110551,914.231459742,851.316366735,747.2615406995,884.3800737335,1033.2801870945,1132.292758474
"Fcamr",8.77625500350643e-06,0.0105931239131683,24,9.06877984714077,28.0507746655,17.5761487187783,0.626583362790171,12.5269932525,34.0332773205,45.686329893,36.7929182955,27.993950127,11.2711791045
"Serpine1",9.05726974376186e-06,0.0105931239131683,24,9.26709673186793,171.981570800333,106.218594360171,0.617616142624307,103.492872165,158.2485877395,303.2264034935,245.183678004,137.2635808845,84.4743025155
"Zfp873",2.40278645959879e-05,0.0167486950922054,24,19.9999631598531,131.328320195833,29.6249465954364,0.225579269964471,147.3468067455,115.667365818,99.7707610255,120.284579239,145.0215739245,159.8788344225
"Ddx17",2.43465355346251e-05,0.0167486950922054,24,9.21119748108854,383.740542377333,52.0487033737278,0.135635143087248,345.597649311,402.3775572975,439.643540666,418.15036912,356.8176782085,339.856459661
"Klf15",2.53084831725037e-05,0.0167486950922054,24,9.0686400412432,637.452500727083,107.143892968504,0.168081375233911,575.6156957985,679.9061667945,760.6526015735,696.1916318895,583.5889094175,528.759998889
"Asph",2.59735210265122e-05,0.0167486950922054,24,19.9999631598531,1770.26479643017,252.21452934125,0.142472770090584,1840.551557205,1524.895952502,1466.6128409325,1751.017750218,1987.5225161265,2050.988161597
"Cnbp",2.65206230429804e-05,0.0167486950922054,24,9.70068333161495,158.30226008275,23.5098011176663,0.148512100240242,141.0738519225,162.491986797,182.1439564775,178.1114019125,147.4586790465,138.5336843405
"Zmym6",2.68220019157273e-05,0.0167486950922054,24,20.9999631598531,324.306822209417,106.807249745696,0.329340126174487,386.007461505,301.297579527,230.517040848,240.7427747525,335.483453748,451.792622876
"Gm38416",2.69193259857525e-05,0.0167486950922054,24,20.9999631598531,34.6140532585,12.6349070967937,0.365022466523507,41.329695819,33.3022853415,19.899649803,26.4542536045,39.354367839,47.344067144
"Elp4",2.69306442749473e-05,0.0167486950922054,24,20.9999631598531,1312.28031939992,244.406938145396,0.186245983066452,1509.970179873,1261.181435118,1067.7684857335,1170.8691674035,1312.618601778,1551.2740464935
"Eif4g1",2.78777018188903e-05,0.0167486950922054,24,9.1348161444513,674.319648117833,107.224082737588,0.159010764459961,593.1477911475,721.4252305695,784.315524653,740.483363147,628.4690772,578.07690199
"Zfp677",2.78985128565612e-05,0.0167486950922054,24,3.68401469190059e-05,60.1183039281667,12.6581894958567,0.210554667526575,71.474391036,66.496501347,50.8819332215,47.3908070505,58.024735968,66.441454946
"Nbr1",2.79846175943455e-05,0.0167486950922054,24,9.19487700476072,566.535854271583,77.6779372291523,0.137110364054585,513.1337891985,588.7720768335,653.274216854,616.6962907165,528.4697954295,498.8689565975
"Pms1",2.80495040932971e-05,0.0167486950922054,24,23.0000368401469,512.91200786825,123.215516952832,0.240227397804423,592.1323598655,476.0443198815,405.204220772,397.7440069445,566.40342858,639.943711166
"Npas2",2.80567915003083e-05,0.0167486950922054,24,3.68401469190059e-05,1562.12155397983,2139.21230723523,1.36942755945281,3434.512238952,2006.59497597,120.0262220815,97.760987941,359.661707808,3354.1731911265
"Gng11",2.83901350065507e-05,0.0167486950922054,24,19.9999631598531,51.9183107420833,12.7865437251314,0.246281967621243,59.817219105,42.998720631,39.452475076,47.435378925,58.031560713,63.7745100025
"Tecpr2",2.85632784242651e-05,0.0167486950922054,24,20.9999631598531,1285.91763903392,203.178929122028,0.158003065635426,1417.889126484,1221.9547338255,1023.9604593265,1206.95714289,1371.483460083,1473.2609115945
"Slc39a8",2.89082519645545e-05,0.0167486950922054,24,20.9999631598531,585.614177708167,128.697351195268,0.219764746302646,679.2316259535,555.4159104825,453.921907571,491.622440413,642.4387532835,691.0544285455
"Mnat1",2.96973962978786e-05,0.0167486950922054,24,20.9999631598531,1103.51646541417,137.49224419278,0.124594646751534,1191.556741413,1038.5450213745,972.186677554,1024.8973988735,1128.720901191,1265.192052079
"Zbtb21",3.02090705911473e-05,0.0167486950922054,24,9.40688383734827,418.56160606125,58.557724372345,0.139902283258575,385.39598568,418.497620895,487.7373484045,465.3793030385,385.422269565,368.9371087845
"Asl",3.0678848185528e-05,0.0167486950922054,24,9.20650999241936,550.074612970333,82.8818576580568,0.150673846245158,496.736928957,558.729851787,646.801673134,602.6744446405,521.717253231,473.7875260725
"Cox7c",3.11488212191291e-05,0.0167486950922054,24,7.77230724542712,44.40506029275,10.2187143625985,0.230124996908671,38.659084272,50.253589779,56.356813182,45.945692005,39.1562805585,36.05890196
"Usp2",3.14832364095574e-05,0.0167486950922054,24,13.0504881975355,681.50329656175,241.14347871314,0.353840516883384,392.386464987,467.179125432,835.983491217,884.5009109505,840.162810309,668.806976475
"Zfp809",3.1778558697404e-05,0.0167486950922054,24,7.74864390155017,370.143861629083,37.0913496763738,0.10020792865003,352.8071156775,393.2263948995,411.7916647405,378.6772016995,347.1129360885,337.247856669
"Sipa1l1",3.25750400642644e-05,0.0167486950922054,24,20.9999631598531,3084.74160024008,384.371050564406,0.124603970243242,3287.0433155895,3001.1822616915,2594.458701611,2892.882594556,3268.297857012,3464.5848709805
"Zfp2",3.27818053130757e-05,0.0167486950922054,24,20.9999631598531,267.095675529917,40.1299332889206,0.150245537331531,281.026223904,253.885381701,224.1863575455,241.4313031955,281.7468558765,320.297930957
"Siah2",3.28182459370385e-05,0.0167486950922054,24,9.03322124008037,523.768530997667,63.2635620619542,0.12078534374994,485.286514569,546.654721473,600.016308476,552.9717066035,497.5552088835,460.126725981
"Prkar1a",3.30183095079706e-05,0.0167486950922054,24,9.03948456422621,415.357951821083,58.9375737694761,0.141895859971073,375.99285891,437.9484363795,483.78486236,444.106124922,391.531411758,358.784016597
"Gfod2",3.39500978457918e-05,0.0167486950922054,24,20.9999631598531,791.810676312833,137.006760219346,0.173029695504152,867.736152462,799.374801903,631.762109271,682.4923968135,865.2168450555,904.281752372
"Nek4",3.50228328337421e-05,0.0167486950922054,24,20.9999631598531,420.054791232417,97.802132537204,0.232831846174777,459.7962824595,402.968028408,315.9688472395,348.3333217035,457.1092287405,536.1530388435
"Tbc1d15",3.55995543797061e-05,0.0167486950922054,24,9.1994716464343,929.673418594083,106.69130814666,0.114762136910407,855.208014972,962.0171619915,1042.5583323535,997.8871971855,892.216263933,828.153541129
"Fam53c",3.59342283433595e-05,0.0167486950922054,24,9.26279055901609,508.18985094225,74.5972109201189,0.146790044668948,451.7792865915,526.9779148935,587.872907406,558.8014098835,478.5391693065,445.1684175725
"Lpin1",3.72580723272398e-05,0.0167486950922054,24,9.12034177999672,1542.836385406,268.240786083512,0.173862107881857,1430.221007433,1633.630932549,1835.2788211845,1699.8240598295,1461.3712449315,1196.6922465085
"Rnf219",3.79071725864488e-05,0.0167486950922054,24,20.9999631598531,379.84455627725,46.6049553070079,0.122694809065503,404.735176719,372.4364434275,337.370695411,344.7709775355,381.2242181025,438.529826468
"Ago4",3.82210664059413e-05,0.0167486950922054,24,3.68401469190059e-05,474.9916971685,100.207052679404,0.210965903776327,581.270869332,487.369923003,427.220862964,366.9943088545,454.3605758955,532.733642962
"Zfp109",3.82924265537321e-05,0.0167486950922054,24,20.9999631598531,218.357505828167,32.5196606435652,0.148928522150991,233.1119112975,214.8177364905,177.745595316,200.833231034,229.0020593565,254.6345014745
"Metap1d",3.88695745391354e-05,0.0167486950922054,24,20.9999631598531,890.825106529833,215.275333276281,0.24165835886112,993.5216317425,914.1587705025,638.73010256,751.4178765725,908.485015614,1138.6372421875
"Cmpk2",4.00835390923504e-05,0.0169739966146072,24,20.9999631598531,89.8569801654167,39.8410369484831,0.443382771991004,129.8651551125,75.3086771025,53.028206198,65.5990035375,95.74390245,119.596936592
"Slc35e2",4.17088451197811e-05,0.0173628973726601,24,9.90493191394665,495.242094533083,56.0463632397019,0.113169627255823,460.7050808055,501.726393744,548.9136597975,544.661127286,476.5364573175,438.909848248
"Bckdha",4.42611743265431e-05,0.0178212902071184,24,9.47061635912243,1078.15861902025,144.850505687453,0.134349902817716,992.0762603205,1090.9249593945,1223.9702741435,1189.2743362825,1050.5723036295,922.133580351
"Isoc2a",4.51912717016612e-05,0.0179023036171693,24,8.02453142091755,470.305346251167,61.9334029645098,0.131687643906634,442.6771179195,482.4268138665,554.5799746275,489.299901548,432.08795277,420.7603167755
"Hnrnpl",4.92992024279104e-05,0.0192196462036811,24,9.10778154124239,383.6262769005,63.7016644609173,0.166051358565929,338.945198064,394.8514988355,464.2477884315,417.2401165685,353.1756700155,333.297389488
"Grn",5.20032603011922e-05,0.0199570636915247,24,9.69004508057204,381.17128855475,42.6119444730748,0.111792114864271,363.80274948,387.71744571,422.342803578,416.1551124785,369.979990731,327.029629351
"Ube2b",6.67821695452542e-05,0.0208141303195517,24,9.08535953595692,329.854945409583,46.1827516388105,0.140009274626654,301.1744700945,352.759636848,381.007580813,358.206317324,297.9855786795,287.9960886985
"Col27a1",7.41918551988574e-05,0.0208141303195517,24,15.2126766148789,1206.22230907608,903.205010077064,0.748788182146027,688.25581626,573.5588718795,1017.9338890405,1847.5399379525,1942.8585193125,1167.1868200115
