"geneSym","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","GSM1321185","GSM1321186","GSM1321187","GSM1321188","GSM1321189","GSM1321190","GSM1321191","GSM1321192","GSM1321193","GSM1321194","GSM1321195","GSM1321196"
"Tspan4",2.52455834015564e-11,1.75471988134692e-08,24,15.4178355575924,2016.15833333333,675.329758447018,0.334958692123395,1464.8,1151.5,1184.9,1548.5,1853.8,2090.6,2594.4,2562.6,2561.7,2409.6,2000.3,1880.1
"Eps8l2",2.6155966281749e-11,1.75471988134692e-08,24,23.9270304473004,1030.70833333333,453.01336066486,0.439516540241607,1368.3,1425.7,1462.2,1193.4,766.2,541,596,649,876.2,1036.6,1278.9,1367.3
"Nelfa",2.6687652088242e-11,1.75723362527691e-08,24,21.9405665200918,439.558333333333,90.6729834921089,0.206282025879255,546.9,453.3,456.7,406.8,364.5,296.1,379.6,414.5,455.4,500.1,518.5,531.3
"Net1",2.90850676876175e-11,1.86439488215656e-08,24,21.9555101647477,784.529166666667,164.935608262574,0.210235151566586,931.8,859.2,889.2,696.9,563.3,561.5,635,723,856.5,854,901.7,909
"Dpp9",2.95221624924125e-11,1.86439488215656e-08,24,22.5620985994433,525.775,117.373507329055,0.223239042040901,656.1,646.2,572.6,536,479.5,344.3,443.3,409.3,512.7,541,606.9,619.6
"Dhrs3",3.0221047886414e-11,1.86439488215656e-08,24,23.3195249782107,3180.22916666667,910.373006337674,0.286260190265431,4037.1,4145.7,3667,3161,2564.7,2134.2,2332.1,2147.1,2959.4,3285,3546,3882.8
"Cry1",3.04125613581618e-11,1.86439488215656e-08,24,19.7168644362096,388.275,239.672534611406,0.617275216306498,463.4,244.8,191.8,173.8,211,198.1,278.1,391.9,563.9,593.9,649.4,570.5
"Tubb2a",3.25651727806076e-11,1.96252081930048e-08,24,21.9587281469724,712.295833333333,526.33290663956,0.738924590049162,1346.6,1157.9,853.1,413.5,282.5,191.9,240.6,399.1,763.3,805.8,1339.8,1113.3
"Arhgap24",3.5014879884443e-11,2.07498178195209e-08,24,22.5340655053504,195.108333333333,57.3437571160347,0.293907267497722,249,236.6,264.1,163.9,157.6,129.1,160.4,148.4,175.1,200.1,274,239.1
"Dnph1",3.62050389668411e-11,2.11033830410656e-08,24,21.8230959066992,267.466666666667,69.1769498075431,0.258637648831791,340.1,250.3,280.8,222.4,212.3,169.2,239.6,237.5,313,313.8,316.6,324.2
"NaN_10332",3.73064912295717e-11,2.13946710025589e-08,24,21.3582892633156,204.308333333333,125.803595043683,0.615753616072193,312.5,246.9,127.6,127,99.5,100.9,100.4,183.4,199.4,275.7,300.5,325
"Acacb",3.81877862665192e-11,2.15524591824184e-08,24,21.1943895282757,1122.92916666667,436.377664402419,0.388606581212753,1255.1,1228.4,1221.3,818.3,690.4,677.2,960.6,1110,1238.3,1629.9,1698.9,1588.9
"Gm13363||Gm15026||Ptp4a1",3.97762933701529e-11,2.20982169854556e-08,24,14.1560517385086,3640.975,496.882594076427,0.13646965279257,3058,3019.3,2805.6,3310.6,3866.7,3858.9,4202.7,4179.4,4067.1,3876.4,3536.7,3426.2
"Cml5",4.21981338760702e-11,2.27716840737393e-08,24,18.9254235302406,1815.09583333333,1106.67419227472,0.609705654076881,1710,1521.1,1051.9,736.7,845.8,975.7,1250.9,2234.3,2693.5,2845.7,2910.2,2433.8
"Mpzl1",4.22694101942511e-11,2.27716840737393e-08,24,22.6045138577403,325.216666666667,139.101827096747,0.427720474852909,414.2,383,444.9,297.1,198.3,171.7,227.7,212.4,282.1,355.8,487.1,457
"Nid2",4.44551062628307e-11,2.35917277355404e-08,24,21.9262403641335,147.370833333333,31.1465420198069,0.211348075567691,177.3,150.1,148.5,141.9,127.3,102,129.8,134,135.6,168.3,190.5,192.7
